Niger	1952	3379468	Africa	37.444	761.879376
Niger	1957	3692184	Africa	38.598	835.5234025
Niger	1962	4076008	Africa	39.487	997.7661127
Niger	1967	4534062	Africa	40.118	1054.384891
Niger	1972	5060262	Africa	40.546	954.2092363
Niger	1977	5682086	Africa	41.291	808.8970728
Niger	1982	6437188	Africa	42.598	909.7221354
Niger	1987	7332638	Africa	44.555	668.3000228
Niger	1992	8392818	Africa	47.391	581.182725
Niger	1997	9666252	Africa	51.313	580.3052092
Niger	2002	11140655	Africa	54.496	601.0745012
Niger	2007	12894865	Africa	56.867	619.6768924
Nigeria	1952	33119096	Africa	36.324	1077.281856
Nigeria	1957	37173340	Africa	37.802	1100.592563
Nigeria	1962	41871351	Africa	39.36	1150.927478
Nigeria	1967	47287752	Africa	41.04	1014.514104
Nigeria	1972	53740085	Africa	42.821	1698.388838
Nigeria	1977	62209173	Africa	44.514	1981.951806
Nigeria	1982	73039376	Africa	45.826	1576.97375
Nigeria	1987	81551520	Africa	46.886	1385.029563
Nigeria	1992	93364244	Africa	47.472	1619.848217
Nigeria	1997	106207839	Africa	47.464	1624.941275
Nigeria	2002	119901274	Africa	46.608	1615.286395
Nigeria	2007	135031164	Africa	46.859	2013.977305
