Equatorial Guinea	1952	216964	Africa	34.482	375.6431231
Equatorial Guinea	1957	232922	Africa	35.983	426.0964081
Equatorial Guinea	1962	249220	Africa	37.485	582.8419714
Equatorial Guinea	1967	259864	Africa	38.987	915.5960025
Equatorial Guinea	1972	277603	Africa	40.516	672.4122571
Equatorial Guinea	1977	192675	Africa	42.024	958.5668124
Equatorial Guinea	1982	285483	Africa	43.662	927.8253427
Equatorial Guinea	1987	341244	Africa	45.664	966.8968149
Equatorial Guinea	1992	387838	Africa	47.545	1132.055034
Equatorial Guinea	1997	439971	Africa	48.245	2814.480755
Equatorial Guinea	2002	495627	Africa	49.348	7703.4959
Equatorial Guinea	2007	551201	Africa	51.579	12154.08975
Guinea	1952	2664249	Africa	33.609	510.1964923
Guinea	1957	2876726	Africa	34.558	576.2670245
Guinea	1962	3140003	Africa	35.753	686.3736739
Guinea	1967	3451418	Africa	37.197	708.7595409
Guinea	1972	3811387	Africa	38.842	741.6662307
Guinea	1977	4227026	Africa	40.762	874.6858643
Guinea	1982	4710497	Africa	42.891	857.2503577
Guinea	1987	5650262	Africa	45.552	805.5724718
Guinea	1992	6990574	Africa	48.576	794.3484384
Guinea	1997	8048834	Africa	51.455	869.4497668
Guinea	2002	8807818	Africa	53.676	945.5835837
Guinea	2007	9947814	Africa	56.007	942.6542111
Guinea-Bissau	1952	580653	Africa	32.5	299.850319
Guinea-Bissau	1957	601095	Africa	33.489	431.7904566
Guinea-Bissau	1962	627820	Africa	34.488	522.0343725
Guinea-Bissau	1967	601287	Africa	35.492	715.5806402
Guinea-Bissau	1972	625361	Africa	36.486	820.2245876
Guinea-Bissau	1977	745228	Africa	37.465	764.7259628
Guinea-Bissau	1982	825987	Africa	39.327	838.1239671
Guinea-Bissau	1987	927524	Africa	41.245	736.4153921
Guinea-Bissau	1992	1050938	Africa	43.266	745.5398706
Guinea-Bissau	1997	1193708	Africa	44.873	796.6644681
Guinea-Bissau	2002	1332459	Africa	45.504	575.7047176
Guinea-Bissau	2007	1472041	Africa	46.388	579.231743
